Country,Sample_Size,Men_%,Age,Political_Orientation,Religiosity,Humility,Emotionality,Extroversion,Agreeableness,Conscientiousness,Openness
USA,61589,49.5,35.6,3.69,3.21,3.4,3.12,3.23,2.93,3.58,3.74
UK,34719,53.1,34.8,3.78,2.3,3.1,3.07,3.21,2.71,3.44,3.62
Australia,8894,34.8,33.8,3.63,2.47,3.35,3.23,3.2,2.83,3.49,3.51
Canada,8131,47.4,31.4,3.59,2.67,3.3,3.17,3.26,2.92,3.55,3.67
Netherlands,3117,60.3,33.7,3.68,2.2,3.4,2.98,3.3,2.87,3.47,3.75
Greece,2582,41.9,33,3.62,3.17,3.26,3.24,3.19,2.71,3.53,3.71
Germany,2186,59.6,30.6,3.44,2.28,3.31,3.01,3.2,2.88,3.48,3.79
Singapore,1950,50.4,29.4,3.93,3.15,3.3,3.19,3.16,2.79,3.41,3.53
India,1942,63.4,28.6,3.96,3.55,3.15,3.12,3.17,2.77,3.41,3.7
Italy,1761,63.4,33.6,3.27,2.47,3.23,3.06,3.08,2.69,3.47,3.84
France,1490,59.4,35.4,3.76,2.38,3.31,3.08,3.16,2.75,3.49,3.83
Philippines,1478,37.5,28.9,3.92,4,3.35,3.25,3.2,2.94,3.59,3.75
Ireland,1338,52.6,35.1,3.63,2.47,3.11,3.07,3.26,2.71,3.49,3.7
New Zealand,1149,50,36.8,3.61,2.37,3.31,3.06,3.19,2.88,3.48,3.73
Sweden,771,69.9,30.4,3.88,2.07,3.17,2.9,3.23,2.92,3.49,3.82
Spain,753,57.6,37,3.66,2.16,3.26,3.07,3.22,2.78,3.48,3.85
Belgium,616,56.2,30.7,3.66,2.08,3.28,3.11,3.21,2.79,3.43,3.8
Norway,610,63.1,29.8,3.73,2,3.24,2.92,3.23,2.93,3.47,3.74
Romania,593,54.8,27.4,4.12,2.83,3.01,2.99,3.09,2.71,3.56,3.84
Malaysia,454,51.5,29.3,3.88,3.53,3.17,3.22,3.11,2.78,3.42,3.6
Brazil,566,67.8,28.3,3.77,2.61,3.2,3.01,3.01,2.67,3.49,3.93
Portugal,540,58,31.3,3.8,2.3,3.28,3.09,3.14,2.69,3.57,3.83
Japan,291,62.9,36.2,3.8,2.43,3.51,3.17,3.18,2.99,3.31,3.79
Mexico,531,64,30,3.61,2.76,3.15,3.08,3.21,2.81,3.55,3.84
Switzerland,519,55.5,33.9,3.84,2.31,3.33,2.98,3.34,2.84,3.53,3.8
Slovakia,482,56.8,32,4.25,2.79,3.26,3.1,3.12,2.82,3.44,3.51
Poland,469,56.9,28.9,3.88,2.73,3.03,2.94,3.09,2.74,3.39,3.82
Finland,451,56.9,30.8,3.66,2.11,3.25,3.04,3.07,2.84,3.42,3.9
Denmark,408,61.5,29.8,3.59,2.08,3.21,3.01,3.25,2.88,3.48,3.82
Indonesia,251,51.4,25.5,3.98,4.04,3.17,3.12,2.96,2.85,3.42,3.71
Austria,311,56.6,31.1,3.42,2.5,3.28,2.98,3.26,2.86,3.43,3.83
Croatia,283,55.8,29.3,3.45,2.54,3.1,2.98,3.2,2.73,3.56,3.75
Pakistan,267,71.5,27.1,3.55,4.13,3.16,3.08,3.24,2.82,3.52,3.65
